Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,596.000000,611.960022,595.500000,600.580017,600.580017,593700
2019-05-29,595.000000,597.409973,568.340027,573.609985,573.609985,936500
2019-05-30,576.619995,590.000000,575.919983,578.289978,578.289978,399900
2019-05-31,566.559998,576.710022,560.409973,570.520020,570.520020,522700
2019-06-03,567.590027,589.820007,564.739990,568.770020,568.770020,688100
2019-06-04,568.000000,577.690002,544.440002,551.710022,551.710022,1173800
2019-06-05,564.219971,569.809998,546.989990,569.150024,569.150024,700000
2019-06-06,569.140015,587.369995,565.479980,581.690002,581.690002,555400
2019-06-07,582.000000,618.000000,582.000000,604.489990,604.489990,695300
2019-06-10,625.890015,632.669983,613.030029,616.460022,616.460022,564700
2019-06-11,628.059998,634.000000,608.390015,613.299988,613.299988,455700
2019-06-12,608.330017,633.109985,608.330017,623.409973,623.409973,625300
2019-06-13,630.000000,635.710022,616.830017,635.590027,635.590027,568000
2019-06-14,632.869995,635.590027,609.409973,616.000000,616.000000,621700
2019-06-17,620.929993,623.450012,612.239990,618.849976,618.849976,460000
2019-06-18,626.719971,632.090027,621.679993,622.750000,622.750000,465300
2019-06-19,623.419983,643.969971,616.190002,641.390015,641.390015,390900
2019-06-20,659.359985,672.549988,619.150024,636.440002,636.440002,581800
2019-06-21,635.919983,644.710022,624.890015,630.650024,630.650024,454900
2019-06-24,633.880005,637.369995,619.130005,621.799988,621.799988,357700
2019-06-25,623.429993,624.989990,609.000000,614.539978,614.539978,389100
2019-06-26,625.320007,625.320007,605.559998,609.219971,609.219971,462200
2019-06-27,608.830017,614.400024,607.340027,610.669983,610.669983,573300
2019-06-28,613.119995,613.119995,603.099976,611.770020,611.770020,375100
2019-07-01,627.190002,637.000000,612.380005,619.309998,619.309998,501000
2019-07-02,616.000000,631.549988,613.530029,626.979980,626.979980,424900
2019-07-03,630.979980,633.520020,619.010010,633.520020,633.520020,207500
2019-07-05,628.000000,641.570007,621.630005,638.179993,638.179993,300900
2019-07-08,635.710022,635.710022,624.219971,629.969971,629.969971,313600
2019-07-09,626.830017,641.169983,624.809998,640.559998,640.559998,339400
2019-07-10,646.000000,654.169983,619.500000,633.330017,633.330017,755000
2019-07-11,632.210022,638.710022,625.669983,634.289978,634.289978,467800
2019-07-12,633.849976,647.859985,628.770020,644.789978,644.789978,514700
2019-07-15,649.250000,660.630005,639.950012,645.109985,645.109985,636700
2019-07-16,649.780029,652.979980,630.000000,633.950012,633.950012,572000
2019-07-17,632.950012,640.890015,623.260010,631.729980,631.729980,383800
2019-07-18,630.130005,650.900024,629.979980,648.669983,648.669983,562600
2019-07-19,652.989990,657.190002,626.349976,626.700012,626.700012,479100
2019-07-22,631.400024,640.950012,630.000000,636.510010,636.510010,316500
2019-07-23,638.590027,641.609985,623.299988,634.830017,634.830017,417000
2019-07-24,631.340027,660.299988,627.539978,660.000000,660.000000,581900
2019-07-25,662.460022,666.179993,650.859985,652.500000,652.500000,558300
2019-07-26,650.000000,662.900024,647.140015,654.710022,654.710022,397600
2019-07-29,656.130005,658.299988,646.010010,653.390015,653.390015,312900
2019-07-30,646.729980,650.049988,629.630005,633.780029,633.780029,466100
2019-07-31,636.900024,643.440002,614.130005,621.419983,621.419983,427100
2019-08-01,624.530029,648.549988,617.030029,626.450012,626.450012,455900
2019-08-02,622.630005,625.000000,609.599976,614.710022,614.710022,341800
2019-08-05,598.520020,602.659973,567.390015,574.250000,574.250000,887200
2019-08-06,588.530029,601.989990,586.880005,601.039978,601.039978,566000
2019-08-07,596.979980,614.960022,581.130005,613.539978,613.539978,637700
2019-08-08,645.000000,693.840027,640.000000,688.099976,688.099976,1140900
2019-08-09,682.690002,698.979980,675.090027,690.099976,690.099976,544400
2019-08-12,612.559998,633.039978,585.739990,623.650024,623.650024,1761200
2019-08-13,644.890015,656.140015,627.030029,637.570007,637.570007,794200
2019-08-14,620.989990,632.359985,616.359985,620.000000,620.000000,464900
2019-08-15,620.989990,628.500000,604.539978,613.250000,613.250000,412400
2019-08-16,623.000000,631.380005,619.020020,624.530029,624.530029,350900
2019-08-19,637.440002,639.690002,597.340027,603.349976,603.349976,611600
2019-08-20,603.359985,620.320007,596.619995,612.299988,612.299988,362200
2019-08-21,622.520020,634.539978,620.010010,629.830017,629.830017,348400
2019-08-22,626.059998,630.880005,608.489990,619.400024,619.400024,278000
2019-08-23,613.890015,619.739990,595.000000,598.179993,598.179993,405000
2019-08-26,605.969971,612.880005,599.820007,602.619995,602.619995,332000
2019-08-27,609.750000,614.789978,591.750000,594.130005,594.130005,504000
2019-08-28,593.409973,593.770020,584.059998,588.150024,588.150024,385300
